INFO:root:# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk

INFO:root:# Idx     W     C     %     %     %     %   MHz   MHz

INFO:root:    0     1    38     0     9     0     0   405   405

INFO:root:    0     1    37    29    23     0     0   405   405

INFO:root:    0     1    38     2    10     0     0   405   405

INFO:root:    0     1    37    43    41     0     0   405   405

INFO:root:    0     1    37     0     9     0     0   405   405

INFO:root:    0     1    37     0     9     0     0   405   405

INFO:root:    0     1    37     0     9     0     0   405   405

INFO:root:    0     1    37     0     9     0     0   405   405

INFO:root:    0     1    37     0     9     0     0   405   405

INFO:root:    0     3    38     0     2     0     0  2505  1045

INFO:root:    0    14    41    82     2     0     0  2505  1124

INFO:root:    0    14    41    82     2     0     0  2505  1124

INFO:root:    0    15    41    85     2     0     0  2505  1124

INFO:root:    0    12    42    82     2     0     0  2505  1124

INFO:root:    0    15    42    84     2     0     0  2505  1124

INFO:root:    0    14    42    85     2     0     0  2505  1124

INFO:root:    0    12    42    84     2     0     0  2505  1124

INFO:root:    0    13    42    86     2     0     0  2505  1124

INFO:root:    0    13    43    86     2     0     0  2505  1124

INFO:root:    0    15    43    84     2     0     0  2505  1124

INFO:root:    0    12    44    77     2     0     0  2505  1124

INFO:root:    0    14    43    88     2     0     0  2505  1124

INFO:root:    0    13    44    82     2     0     0  2505  1124

INFO:root:    0    13    44    82     2     0     0  2505  1124

INFO:root:    0    13    44    84     2     0     0  2505  1124

INFO:root:    0    12    44    81     2     0     0  2505  1124

INFO:root:    0    13    45    84     2     0     0  2505  1124

INFO:root:    0    10    45    89     2     0     0  2505  1124

INFO:root:    0    12    45    84     2     0     0  2505  1124

INFO:root:    0    12    45    85     2     0     0  2505  1124

INFO:root:    0    13    45    86     2     0     0  2505  1124

INFO:root:    0    14    45    83     2     0     0  2505  1124

INFO:root:    0     8    45    85     2     0     0  2505  1124

INFO:root:    0    13    46    77     2     0     0  2505  1124

INFO:root:    0    14    46    79     2     0     0  2505  1124

INFO:root:    0    12    46    77     2     0     0  2505  1124

INFO:root:    0    14    46    88     2     0     0  2505  1124

INFO:root:    0    12    46    84     2     0     0  2505  1124

INFO:root:    0    14    46    85     2     0     0  2505  1124

INFO:root:    0    11    46    84     2     0     0  2505  1124

INFO:root:    0    11    47    83     2     0     0  2505  1124

INFO:root:    0    13    46    84     2     0     0  2505  1124

INFO:root:    0    10    47    86     2     0     0  2505  1124

INFO:root:    0    10    47    85     2     0     0  2505  1124

INFO:root:# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk

INFO:root:# Idx     W     C     %     %     %     %   MHz   MHz

INFO:root:    0    10    47    83     2     0     0  2505  1124

INFO:root:    0    12    47    85     2     0     0  2505  1124

INFO:root:    0    15    47    85     2     0     0  2505  1124

INFO:root:    0    14    48    85     2     0     0  2505  1124

INFO:root:    0    15    48    88     2     0     0  2505  1124

INFO:root:    0    15    48    83     2     0     0  2505  1124

INFO:root:    0    15    48    80     2     0     0  2505  1124

INFO:root:    0    13    48    88     2     0     0  2505  1124

INFO:root:    0    12    48    86     2     0     0  2505  1124

INFO:root:    0    15    48    88     2     0     0  2505  1124

INFO:root:    0    15    48    87     2     0     0  2505  1124

INFO:root:    0    14    48    80     2     0     0  2505  1124

INFO:root:    0    15    48    79     2     0     0  2505  1124

INFO:root:    0    13    48    75     2     0     0  2505  1124

INFO:root:    0    12    49    78     2     0     0  2505  1124

INFO:root:    0    16    49    81     2     0     0  2505  1124

INFO:root:    0    14    49    90     2     0     0  2505  1124

INFO:root:    0    15    49    82     2     0     0  2505  1124

INFO:root:    0    16    49    85     2     0     0  2505  1124

INFO:root:    0    13    49    91     2     0     0  2505  1124

INFO:root:    0    14    49    85     2     0     0  2505  1124

INFO:root:    0    12    50    83     2     0     0  2505  1124

INFO:root:    0    11    50    86     2     0     0  2505  1124

INFO:root:    0    13    50    81     2     0     0  2505  1124

INFO:root:    0    14    50    82     2     0     0  2505  1124

INFO:root:    0    13    50    82     2     0     0  2505  1124

INFO:root:    0    16    50    84     2     0     0  2505  1124

INFO:root:    0    15    50    85     2     0     0  2505  1124

INFO:root:    0    12    50    83     2     0     0  2505  1124

INFO:root:    0    14    50    88     2     0     0  2505  1124

INFO:root:    0    15    50    83     2     0     0  2505  1124

INFO:root:    0    13    51    89     2     0     0  2505  1124

INFO:root:    0    15    50    90     2     0     0  2505  1124

INFO:root:    0    17    51    88     2     0     0  2505  1124

INFO:root:    0    17    51    88     2     0     0  2505  1124

INFO:root:    0    12    51    88     2     0     0  2505  1124

INFO:root:    0    15    51    81     2     0     0  2505  1124

INFO:root:    0    17    51    88     2     0     0  2505  1124

INFO:root:    0    16    51    82     2     0     0  2505  1124

INFO:root:    0    10    51    78     2     0     0  2505  1124

INFO:root:    0     9    51    77     2     0     0  2505  1124

INFO:root:    0    14    51    74     2     0     0  2505  1124

INFO:root:    0    16    51    87     2     0     0  2505  1124

INFO:root:    0    16    51    83     2     0     0  2505  1124

INFO:root:# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk

INFO:root:# Idx     W     C     %     %     %     %   MHz   MHz

INFO:root:    0    15    51    86     2     0     0  2505  1124

INFO:root:    0    12    52    80     2     0     0  2505  1124

INFO:root:    0    16    52    84     2     0     0  2505  1124

INFO:root:    0    13    52    86     2     0     0  2505  1124

INFO:root:    0    16    52    84     2     0     0  2505  1124

INFO:root:    0    16    52    79     2     0     0  2505  1124

INFO:root:    0    14    52    91     2     0     0  2505  1124

INFO:root:    0    13    52    88     2     0     0  2505  1124

INFO:root:    0    15    52    86     2     0     0  2505  1124

INFO:root:    0    15    52    87     2     0     0  2505  1124

INFO:root:    0    16    52    83     2     0     0  2505  1124

INFO:root:    0    11    52    81     2     0     0  2505  1124

INFO:root:    0    15    52    81     2     0     0  2505  1124

INFO:root:    0    14    52    85     2     0     0  2505  1124

INFO:root:    0    15    52    87     2     0     0  2505  1124

INFO:root:    0    15    53    87     2     0     0  2505  1124

INFO:root:    0    14    53    87     2     0     0  2505  1124

INFO:root:    0    14    52    86     2     0     0  2505  1124

INFO:root:    0    16    53    85     2     0     0  2505  1124

INFO:root:    0    17    53    81     2     0     0  2505  1124

INFO:root:    0    13    52    83     2     0     0  2505  1124

INFO:root:    0    15    53    91     2     0     0  2505  1124

